l_ukrainian:
 a_new_destiny_awaits:0 "Нова доля чекає"
 into_the_wild:0 "В дикій природі"
 strategy_reborn:0 "Стратегія відродження"
 encounters_in_the_sun_ea:0 "Зустрічі на Сонці"
 neverending_dunes:0 "Нескінченні дюни"
 the_long_walk_ea:0 "Довга прогулянка"
 take_native_american_land_desc:1 "Мета війни – показати їм нашу перевагу перемагаючи у битвах."
 ACTOR_ALREADY_FEDERATION:0 "You are already a unified Federation and cannot join other Federations.\n"
 RECEPIENT_ALREADY_FEDERATION:0 "Cannot invite $COUNTRY$ because they are already a unified Federation.\n"
 INVITE_ACTOR_ALREADY_FEDERATION:0 "You cannot invite more countries into a unified Federation.\n"
 UNIFIED_FEDERATION_TEXT:0 "You are an integrated federation."
 UNIFIED_FEDERATION_TITLE:0 "Integrated Federation"
 HUSSARS_NAME:0 "$NUM$$ORDER$ крилатих гусар пров.$HOME$"
 MODIFIER_HAS_HUSSARS:0 "Дозволено крилаті гусари"
 HUSSARS_CANT_HAVE:0 "Ваша держава не може призвати крилатих гусар."
 HUSSARS_DESC:1 "Гусари — потужний, але рідкісний підрозділ. Завдаючи нищівних ударів, вони завдають величезної шкоди моральному духу ворога, а також досягають успіху в §Yударній фазі§!. \n\nЧисло §Yгусарських§! полків розраховується виходячи з розвитку провінцій з прийнятими культурами з розрахунку 1 полк на 100 розвитку."
 REGCAT_hussars:0 "Крилаті гусари"
 hussars_regiment:0 "Полк крилатих гусар"
 ADD_HUSSARS_SUB_UNIT_EFFECT:0 "Отримати полк '§Gкрилатих гусар§!' $UNIT$ в провінції $WHERE|Y$."
 HUSSARS_REGIMENT:0 "Гусарський полк\n$EFFECT$"
 HAVE_LESS_HUSSARS_THAN:0 "Число полків крилатих гусар менше $VALUE|Y$.\n"
 HAVE_AT_LEAST_HUSSARS_THAN:0 "Щонайменше $VALUE|Y$ полків крилатих гусар.\n"
 MODIFIER_AMOUNT_OF_HUSSARS:0 "Число крилатих гусар"
 MODIFIER_LOCAL_AMOUNT_OF_HUSSARS:0 "Число крилатих гусар від розвитку"
 MODIFIER_CAN_RECRUIT_HUSSARS:0 "Можна набирати §Yкрилатих гусар§!"
 HUSSARS_REGIMENT_TYPE:0 "Крилаті гусари"
 STATE_HUSSARS_CREATED_REGIMENTS:0 "Призов $NUM|Y$ полків крилатих гусар в провінції $PROV|Y$ коштуватиме $MILAMOUNT|Y$ £mil£.\nВи хочете призвати полки крилатих гусар?"
 crowned_in_tallin:0 "Crowned in Tallin"
 knights_of_swords:0 "Лицарі меча"
 rise_of_the_balts:0 "Піднесення балтів"
 battle_of_scandinavia:0 "Битва за Скандинавію"
 lands_of_midnight_sun:0 "Землі опівнічного сонця"
 united_we_stand:0 "Разом ми встоїмо"
 papal_influence:0 "Вплив Папи"
 church_power:0 "Церковна влада"
 fervor:0 "Запал"
 karma:0 "Карма"
 positive_karma:0 "Позитивна карма"
 negative_karma:0 "Негативна карма"
 BREAK_ALLIANCE_EFFECT:0 "Розриває союз з державою $WHO|Y$"
 MODIFIER_MILITARY_TACTICS:0 "Військові тактики: $VALUE|G$"
 ONLY_HUSSARS_MODIFIER:0 "§YВпливає лише на полки крилатих гусар§!"
 BANNER_LIMIT_CULTURE:0 "$PROVINCE$ — провінція з $CULTURE$§!§z§!§Yою культурою, тому тут не можна набирати корогви."
 LionsOfTheNorthDLC:0 "Леви півночі"
 POLICY_NAME:0 "$POLICY|Y$"
 POLICY_GROUP_IN_COLOR:0 " (+ $POLICY|Y$ )"
 MODIFIER_REASONS_TO_ELECT:0 "Підстави для обрання"
 POLICY_GROUP:0 " (+ $POLICY$ )"
 HUSSARS_LIMIT_CULTURE:0 "$PROVINCE$ — провінція з $CULTURE$§!§z§!§Yою культурою, тому тут не можна набирати полки крилатих гусар."
 MODIFIER_MANPOWER_IN_OWN_CULTURE_PROVINCES:0 "Рекрути в провінціях основної культури"
 MODIFIER_MANPOWER_IN_ACCEPTED_CULTURE_PROVINCES:0 "Рекрути в провінціях визнаної культури"
 MODIFIER_MANPOWER_IN_CULTURE_GROUP_PROVINCES:0 "Рекрути в провінціях тієї ж групи культури"
