l_ukrainian:
 refused_aid_traders: "Торговцям відмовлено в допомозі"
 desc_refused_aid_traders: "Ми не стали допомагати місцевим торговцям боротися з каперами."
 reckless_privateer: "Безрозсудний капер"
 desc_reckless_privateer: "Нещадному каперу надали свободу дій, після чого інші сталі робити більш зухвалі напади."
 curtailed_privateer: "Звільнений капер"
 desc_curtailed_privateer: "Нещадного капера було звільнено зі служби, після чого інші стали більш обережними."
 rogue_privateer: "Капер-розбійник"
 desc_rogue_privateer: "Один з капітанів разом з командою почали грабувати наші власні кораблі."
 employed_pirates: "Пірати на службі"
 desc_employed_pirates: "Пірати знайшли відмінне виправдання своїм злочинам у нашому заступництві."
 supported_republic_feud: "Підтримка ворожнечі"
 desc_supported_republic_feud: "Ворожнеча між родинами торговців підтримує каперство грішми й постачанням."
 denied_knowledge_privateer: "Покинутий капер"
 desc_denied_knowledge_privateer: "Ми відмовили в допомозі каперу, пійманому без каперського посвідчення, і тепер інші не хочуть мати з нами справ."
 merchants_prepare_war: "Торговці готуються до війни"
 desc_merchants_prepare_war: "Торговці допомагають нам приготуватися до торгової війни, і будуть вкрай розчаровані, якщо вона так і не почнеться."
 merchants_ignored: "Ігнорування вимог купців"
 desc_merchants_ignored: "Торговці обурені нашою відмовою оголосити війну і покінчити з каперами."
 privateers.1.t: "Прохання місцевих торговців"
 privateers.1.d: "Торговці й капітани торгових кораблів держави [Root.Getname] направили прохання уряду, де вони скаржаться на беззаконня, що діється в їхній країні, де піратство прийняло загрозливі розміри, а кораблі й порти постійно зазнають нападів каперів. Вони заявляють, що ми нехтуємо ними, і просять фінансової допомоги для побудови оборонних споруд. Якщо ми відмовимо, то багато торговців можуть в нас розчаруватися, і будуть вести справи в іншому місці."
 privateers.1.a: "Надайте їм все необхідне."
 privateers.1.b: "В них достатньо грошей, щоб захистити себе."
 privateers.2.t: "Підроблений каперський патент?"
 privateers.2.d: "Каперство завжди приводить до дипломатичних проблем, особливо коли війну не оголошено, а знайти різницю між ворогом, який додержується певних правил, і безчесним піратом, буває неможливо. Тим більше, коли на недавно захопленому судні виявляється каперське посвідчення, видане колоніальним губернатором, який не володіє такими повноваженнями. Тоді цей капер стає звичайним піратом, з яким можна розібратися без шкоди для дипломатичних відносин."
 privateers.2.a: "Надумані виправдання не звільнять його від шибениці!"
 privateers.2.b: "Ми повинні проявити поблажливість у даному питанні."
 privateers.3.t: "Підроблений каперський патент?"
 privateers.3.d: "Пірати стали справжнім нещастям для наших торговців, а їхнє упіймання вважається великою перемогою як для нас, так і для наших торгових партнерів. Останнє захоплення пірата вже привело до дипломатичного скандалу, тому що він заявив, що робив напади від імені нашого власного колоніального уряду.\n\nКапітан надав каперське посвідчення, видане державою [Root.Monarch.Gettitle], від імені колоніального губернатора. Він називає напад на наші кораблі трагічною випадковістю. Тепер же, намагаючись уникнути шибениці, капітан благає нас вирішити це питання з губернатором, що видав патент."
 privateers.3.a: "Губернатор перевищив свої повноваження. Повісити пірата."
 privateers.3.b: "Патент, виданий від імені нашої держави є дійсним, навіть якщо він виданий колонією."
 privateers.4.t: "Безрозсудний капер"
 privateers.4.d: "Залучення каперів для підриву торгівлі наших ворогів виявилося вкрай вигідною справою, але разом з тим ми залучили дуже багато ненадійних і небезпечних людей. Один з капітанів сумно відомий тим, що зневажає правила і угоди каперів, але його навичкам війни на морі пнемає рівних. \n\nМоже ці речі пов'язані, а може й ні. У будь-якому випадку відкликання його каперського патенту буде правильним рішенням у дипломатичному плані, але тоді ми втратимо нашого найкращого капера."
 privateers.4.a: "Закони й угоди мають скоріше рекомендаційний характер..."
 privateers.4.b: "Ми не будемо церемонитися з розбійниками!"
 privateers.5.t: "Капітан каперів став розбійником"
 privateers.5.d: "Між каперством і піратством існує дуже тонка межа, яку в мирний час важко розрізнити. Під час останнього рейду один з капітанів разом з командою перейшов цю межу, атакувавши й пограбувавши наш власний торговий корабель. Також до нас надійшли чутки про те, що цей акт відкритого зрадництва був лише початком їхніх подвигів. Тепер ці зрадники вирішили влаштовувати власне щастя... в першу чергу за рахунок нас."
 privateers.5.a: "Нехай готуються попрощатися з головою!"
 privateers.6.t: "Океани для каперів"
 privateers.6.d: "Деякі з наших найдосвідченіших каперів не тільки роблять рейди у ворожі води. Як нам недавно повідомили, під їхнім контролем перебувають цілі частини світу. Їхнім навігаторським здібностям можна знайти краще застосування, якщо ми надамо гроші на тривалі експедиції. Так ми зможемо довідатися, наскільки далеко простягається вплив наших ворогів, а може навіть приєднати нові землі до нашої держави."
 privateers.6.a: "Спорядіть експедицію. Нехай наш флот підкорить весь світ"
 privateers.6.b: "Капери повинні грабувати наших ворогів, а не нас самих."
 privateers.7.t: "Пірати шукають заступництва"
 privateers.7.d: "Наше активне використання каперів для контролю над океанами привернуло увагу сумнівних особистостей, яким [Root.Monarch.Gettitle] не давав благословення на рейди. І хоча ми намагаємося не зауважувати явних відмінностей між нашими законними каперами й цими бандитами, деякі з них занадто очевидні.\n\nЧастина найбільш успішних піратів регіону прагне заручитися підтримкою держави [Root.Getname] на більш-менш офіційному рівні. Своїми грубими натяками вони також показують, що якщо ми відмовимося, то може відбутися щось погане."
 privateers.7.a: "Ці морські вовки пригодяться нам на службі."
 privateers.7.b: "Це звичайний блеф. Ми не будемо мати нічого спільного з піратами."
 privateers.7.b.tt: "[This.Monarch.Gettitle] з [This.Getname] тепер захищає піратів."
 privateers.8.t: "Пірати шукають заступництва"
 privateers.8.d: "Група піратів через наших каперів просить [Root.Getadjective] підтримки в їхніх розбоях і грабунках. Зрозуміло, якщо ми їх підтримаємо, вони не чіпатимуть наші кораблі. Зважаючи на все, їх особливо цікавлять торгові шляхи держави [From.Getname], тому що [From.Getadjective]ий [From.Monarch.Gettitle] отримав таку ж пропозицію, і відповів відмовою у вкрай грубій формі."
 privateers.8.a: "З цим не повинно виникнути проблем. Вони можуть вважати себе нашими каперами."
 privateers.8.b: "[From.Monarch.Gettitle] [From.Monarch.Getname] був абсолютно правим, коли прогнав цих босяків."
 privateers.9.t: "Піймані работорговці"
 privateers.9.d: "Один з наших каперів недавно захопив корабель, на якому перевозилися ті, кого власники корабля називали вантажем - раби... У державі [Root.Getname] огидна практика рабства заборонена, але не всі народи додержуються ідеалів Просвітництва.\n\nРаби отримають волю, але що робити з тими, хто перевозив їх? З погляду дипломатії буде краще, якщо ми виявимо поблажливість, і будемо розглядати їх як звичайних торговців, адже вони плавають під іншим прапором з іншими законами. Однак наші закон і мораль бачать у работоргівцях звичайних піратів і викрадачів, тому вимагають відповідного покарання."
 privateers.9.a: "Той, хто торгує людськими життями, є злочинцем."
 privateers.9.b: "На цей раз ми їх відпустимо."
 privateers.10.t: "Ворожнеча родин"
 privateers.10.d: "Впливовий політик і глава купецької родини з нашої республіки звертається до нас зі своєю проблемою. Скоріш за все, одна з родин, що раніше належала до нашої республіки, тепер служить інший. Закипаючи від гніву купець став наполягати, що все це спрямоване проти нього і його родичі, а потім почав нести щось незрозуміле про ворожнечу родин, яка йде вже не одне покоління, а почалася через якийсь дріб'язок на балі в давним-давно забуті часи.\n\nТепер він прагне щоб ми допомогли йому вирішити цей конфлікт силою. В обмін на акт агресії проти ворожої республіки він готовий оплатити покращення озброєння наших каперських судів."
 privateers.10.a: "Потрібно скористатися цією можливістю. Скільки можна ворогувати?"
 privateers.10.b: "Чи не час залишити в минулому ці дрібні династичні чвари?"
 privateers.11.t: "Правдиве виправдання"
 privateers.11.d: "Напади на торгові кораблі конкурентів шляхом частих війн та санкціонованого піратства приносили нам величезну користь, але це не могло тривати вічно. Під час одного з нальотів каперські кораблі разом з екіпажем потрапили в полон. Крім того вони втратили своє каперське посвідчення, тому з нами їх пов'язують лише непрямі докази.\n\nКапітан каперів зв'язався з нами, сподіваючись отримати підтримку на майбутньому суді."
 privateers.11.a: "Це законна відповідь торговців іноземним агресорам!"
 privateers.11.b: "Ми ніколи не бачили цих бандитів. Вони виглядають як звичайні пірати."
 privateers.12.t: "Торговці закликають до війни за захист торгівлі"
 privateers.12.d: "Торгівля є основою економіки нашої країни, яку ми неодмінно повинні захищати від зовнішніх загроз. Останні події привели до заворушень серед купців, які звинувачують нас у бездіяльності перед іноземними каперами, що підривають нашу торгівлю.\n\nБагато торгових кораблів почали озброюватися. Вони вважають що руками каперів ведеться неоголошена торгова війна, і пропонують виділити кошти на вдосконалення військово-морського флоту, якщо ми припинимо підпільну боротьбу на морі, тобто відкрито оголосимо війну й знищимо каперів протягом наступних п'яти років."
 privateers.12.a: "Дайте нам гроші на флот, і вороги будуть знищені!"
 privateers.12.a.tt: "Ми пообіцяли протягом наступних п'яти років оголосити торгову війну і знищити каперів."
 privateers.12.b: "Це не причина для ескалації конфлікту."
 privateers.13.t: "Торговці нагадують нам про обіцяну війну"
 privateers.13.d: "Вже пройшло три роки з моменту, коли ми пообіцяли нашим купцям, що страждають від нападів каперів, оголосити війну й покінчити зі свавіллям. Тепер вони нагадують про ці обіцянки. Вони виділяли кошти на підтримку флоту протягом трьох останніх років, і очікують що ми стримаємо своє слово та почнемо війну."
 privateers.13.a: "Ми нападемо, як і планувалося."
 privateers.13.b: "Тоді це звучало розумно, але зараз занадто ризиковано..."
 privateers.13.c: "Каперські рейди майже припинилися. В нас немає приводу починати війну"
 privateers.14.t: "Купці обурені невиконанням обіцянок"
 privateers.14.d: "П'ять років тому ми пообіцяли почати війну проти віроломних держав, які ведуть приховану війну, використовуючи каперів для розгарбування наших торгових шляхів. Незважаючи на надані ресурси, наші торговці не побачили виконання наших обіцянок, і через це вимагають радикальних реформ політичної системи, чим сильно підривають нашу владу."
 privateers.14.a: "Жадібні паразити..."
 privateers.15.t: "Неоголошена торгова війна буде оголошеною негайно"
